link_id,time_index,utilization,latency_proxy,queue_proxy,variance,is_missing,staleness_count,disagreement,util_original,confidence
ATLAM5__ATLAng,0,0.237988,6.562,0.0,0.013494,False,0,0.055887,0.237988,0.866289
ATLAng__CHINng,0,0.140287,5.816,0.0,0.016079,False,0,0.059378,0.140287,0.854227
ATLAng__HSTNng,0,,,,0.012333,True,0,0.029617,0.48439,0.491948
ATLAng__IPLSng,0,0.101523,5.565,0.0,0.006986,False,0,0.139296,0.101523,0.702482
ATLAng__WASHng,0,0.229257,6.487,0.0,0.017855,False,0,0.028975,0.229257,0.915022
CHINng__IPLSng,0,0.269565,6.845,0.0,0.035085,False,0,0.017655,0.269565,0.907463
CHINng__NYCMng,0,0.208748,6.319,0.0,0.026605,False,0,0.004298,0.208748,0.951047
DNVRng__KSCYng,0,0.198065,6.235,0.0,0.018432,False,0,0.054158,0.198065,0.860931
DNVRng__SNVAng,0,0.067326,5.361,0.0,0.008193,False,0,0.031428,0.067326,0.927461
HSTNng__KSCYng,0,0.470897,9.45,0.0,0.026511,False,0,0.069169,0.470897,0.814594
IPLSng__KSCYng,0,0.318801,7.34,0.0,0.037645,False,0,0.047393,0.318801,0.840166
KSCYng__SNVAng,0,0.526464,10.559,0.0,0.046248,False,0,0.042867,0.526464,0.834021
LOSAng__SNVAng,0,0.238482,6.566,0.0,0.019557,False,0,0.07594,0.238482,0.813004
NYCMng__WASHng,0,0.023457,5.12,0.0,0.004751,False,0,0.017428,0.023457,0.963221
SNVAng__STTLng,0,0.259178,6.749,0.0,0.028996,False,0,0.117049,0.259178,0.709225
ATLAM5__ATLAng,1,0.261726,6.773,0.0,0.021619,False,0,0.017935,0.261726,0.931413
ATLAng__CHINng,1,0.135154,5.781,0.0,0.01483,False,0,0.028945,0.135154,0.920596
ATLAng__HSTNng,1,0.490128,9.806,0.0,0.011292,False,0,0.038889,0.490128,0.9061
ATLAng__IPLSng,1,0.08235,5.449,0.0,0.012496,False,0,0.049091,0.08235,0.882421
ATLAng__WASHng,1,0.24314,6.606,0.0,0.016311,False,0,0.01392,0.24314,0.94954
CHINng__IPLSng,1,0.277867,6.924,0.0,0.033185,False,0,0.049858,0.277867,0.843104
CHINng__NYCMng,1,0.231088,6.503,0.0,0.024449,False,0,0.039144,0.231088,0.881587
DNVRng__KSCYng,1,0.186619,6.147,0.0,0.016924,False,0,0.014068,0.186619,0.948115
DNVRng__SNVAng,1,,,,0.007547,True,0,0.082004,0.049013,0.390336
HSTNng__KSCYng,1,0.474078,9.507,0.0,0.027172,False,0,0.045155,0.474078,0.863965
IPLSng__KSCYng,1,0.331346,7.478,0.0,0.035198,False,0,0.050425,0.331346,0.838239
KSCYng__SNVAng,1,0.558188,11.317,0.0,0.054016,False,0,0.089933,0.558188,0.720739
LOSAng__SNVAng,1,0.234171,6.529,0.0,0.020216,False,0,0.059685,0.234171,0.846039
NYCMng__WASHng,1,0.030967,5.16,0.0,0.005169,False,0,0.028749,0.030967,0.938615
SNVAng__STTLng,1,0.246204,6.633,0.0,0.030007,False,0,0.009442,0.246204,0.934014
ATLAM5__ATLAng,2,0.249894,6.666,0.0,0.021127,False,0,0.04202,0.249894,0.881584
ATLAng__CHINng,2,0.125638,5.718,0.0,0.014083,False,0,0.003217,0.125638,0.976144
ATLAng__HSTNng,2,0.468393,9.405,0.0,0.011616,False,0,0.138172,0.468393,0.696411
ATLAng__IPLSng,2,0.088693,5.487,0.0,0.012289,False,0,0.058522,0.088693,0.862936
ATLAng__WASHng,2,,,,0.017724,True,0,0.017262,0.195237,0.508144
CHINng__IPLSng,2,0.230806,6.5,0.0,0.031749,False,0,0.130497,0.230806,0.675884
CHINng__NYCMng,2,0.186519,6.146,0.0,0.023804,False,0,0.090567,0.186519,0.77446
DNVRng__KSCYng,2,0.186619,6.147,0.0,0.015789,False,1,0.025217,0.193124,0.811557
DNVRng__SNVAng,2,0.055985,5.297,0.0,0.006989,False,0,0.003144,0.055985,0.989226
HSTNng__KSCYng,2,0.432452,8.81,0.0,0.026286,False,0,0.008976,0.432452,0.941776
IPLSng__KSCYng,2,0.331346,7.478,0.0,0.032791,False,1,0.02259,0.285807,0.786107
KSCYng__SNVAng,2,0.458862,9.24,0.0,0.051688,False,0,0.00333,0.458862,0.907376
LOSAng__SNVAng,2,0.202697,6.271,0.0,0.018789,False,0,0.001605,0.202697,0.970962
NYCMng__WASHng,2,0.021397,5.109,0.0,0.005999,False,0,0.063167,0.021397,0.864614
SNVAng__STTLng,2,0.240956,6.587,0.0,0.028228,False,0,0.012493,0.240956,0.930829
ATLAM5__ATLAng,3,0.265176,6.804,0.0,0.020947,False,0,0.033822,0.265176,0.899177
ATLAng__CHINng,3,0.143128,5.835,0.0,0.015991,False,0,0.022759,0.143128,0.93151
ATLAng__HSTNng,3,0.47248,9.478,0.0,0.0109,False,0,0.061674,0.47248,0.858828
ATLAng__IPLSng,3,,,,0.011784,True,0,0.038364,0.089086,0.474527
ATLAng__WASHng,3,,,,0.018132,True,0,0.032979,0.2264,0.474299
CHINng__IPLSng,3,0.218207,6.396,0.0,0.034261,False,0,0.037658,0.218207,0.866836
CHINng__NYCMng,3,0.198382,6.237,0.0,0.026408,False,0,0.014095,0.198382,0.930774
DNVRng__KSCYng,3,0.165371,5.991,0.0,0.01779,False,0,0.040744,0.165371,0.890354
DNVRng__SNVAng,3,0.070787,5.381,0.0,0.007714,False,0,0.091101,0.070787,0.802656
HSTNng__KSCYng,3,,,,0.024686,True,0,0.052783,0.492946,0.420647
IPLSng__KSCYng,3,0.284236,6.986,0.0,0.039823,False,0,0.027687,0.284236,0.8777
KSCYng__SNVAng,3,0.562176,11.42,0.0,0.058644,False,0,0.039441,0.562176,0.818645
LOSAng__SNVAng,3,,,,0.018446,True,0,0.074087,0.219378,0.387149
NYCMng__WASHng,3,0.024572,5.126,0.0,0.005617,False,0,0.024989,0.024572,0.945717
SNVAng__STTLng,3,0.316676,7.317,0.0,0.027579,False,0,0.01347,0.316676,0.929955
ATLAM5__ATLAng,4,0.231739,6.508,0.0,0.019832,False,0,0.00404,0.231739,0.963935
ATLAng__CHINng,4,0.151097,5.89,0.0,0.015704,False,0,0.050781,0.151097,0.873015
ATLAng__HSTNng,4,0.47248,9.478,0.0,0.01358,False,1,0.022922,0.478185,0.820417
ATLAng__IPLSng,4,0.0854,5.467,0.0,0.011112,False,0,0.113926,0.0854,0.748394
ATLAng__WASHng,4,,,,0.019589,True,0,0.012234,0.20228,0.515334
CHINng__IPLSng,4,,,,0.032328,True,0,0.063504,0.307039,0.384139
CHINng__NYCMng,4,0.25753,6.734,0.0,0.024973,False,0,0.014172,0.25753,0.933227
DNVRng__KSCYng,4,,,,0.017781,True,0,0.030169,0.220806,0.480856
DNVRng__SNVAng,4,0.059987,5.319,0.0,0.0155,False,0,0.031372,0.059987,0.914265
HSTNng__KSCYng,4,,,,0.024711,True,0,0.01379,0.441744,0.502725
IPLSng__KSCYng,4,0.359902,7.811,0.0,0.038026,False,0,0.017469,0.359902,0.902493
KSCYng__SNVAng,4,,,,0.055369,True,0,0.053902,0.481541,0.362373
LOSAng__SNVAng,4,,,,0.019208,True,0,0.070948,0.254054,0.392371
NYCMng__WASHng,4,0.016341,5.083,0.0,0.006109,False,0,0.002125,0.016341,0.992976
SNVAng__STTLng,4,0.259004,6.748,0.0,0.026333,False,0,0.018527,0.259004,0.921577
ATLAM5__ATLAng,5,0.258286,6.741,0.0,0.021014,False,0,0.034053,0.258286,0.898569
ATLAng__CHINng,5,0.172544,6.043,0.0,0.015108,False,0,0.009373,0.172544,0.961311
ATLAng__HSTNng,5,0.455418,9.181,0.0,0.013346,False,0,0.038617,0.455418,0.902932
ATLAng__IPLSng,5,0.083335,5.455,0.0,0.01123,False,0,0.010719,0.083335,0.965541
ATLAng__WASHng,5,0.216285,6.38,0.0,0.021112,False,0,0.010775,0.216285,0.947417
CHINng__IPLSng,5,,,,0.031026,True,0,0.123895,0.294192,0.259323
CHINng__NYCMng,5,0.237113,6.554,0.0,0.023815,False,0,0.045931,0.237113,0.868449
DNVRng__KSCYng,5,,,,0.017082,True,0,0.008038,0.182066,0.528739
DNVRng__SNVAng,5,0.066691,5.357,0.0,0.015023,False,0,0.005621,0.066691,0.969367
HSTNng__KSCYng,5,0.426944,8.725,0.0,0.023687,False,0,0.012468,0.426944,0.93916
IPLSng__KSCYng,5,0.375963,8.012,0.0,0.03622,False,0,0.055774,0.375963,0.825111
KSCYng__SNVAng,5,,,,0.052635,True,0,0.052418,0.569191,0.370481
LOSAng__SNVAng,5,0.251294,6.678,0.0,0.019328,False,0,0.033464,0.251294,0.902884
NYCMng__WASHng,5,0.022641,5.116,0.0,0.005904,False,0,0.040856,0.022641,0.911777
SNVAng__STTLng,5,0.289715,7.039,0.0,0.02512,False,0,0.064281,0.289715,0.827423
ATLAM5__ATLAng,6,,,,0.030146,True,0,0.049794,0.203796,0.416992
ATLAng__CHINng,6,0.150251,5.884,0.0,0.014654,False,0,0.002623,0.150251,0.976354
ATLAng__HSTNng,6,0.477157,9.563,0.0,0.017184,False,0,0.085882,0.477157,0.796391
ATLAng__IPLSng,6,0.083335,5.455,0.0,0.011317,False,1,0.002376,0.059967,0.867814
ATLAng__WASHng,6,0.220437,6.414,0.0,0.021003,False,0,0.043601,0.220437,0.878481
CHINng__IPLSng,6,0.294192,7.084,0.0,0.029675,False,1,0.034375,0.289255,0.766965
CHINng__NYCMng,6,0.212454,6.349,0.0,0.022908,False,0,0.047623,0.212454,0.866538
DNVRng__KSCYng,6,0.195811,6.217,0.0,0.020775,False,0,0.01864,0.195811,0.931468
DNVRng__SNVAng,6,0.058964,5.313,0.0,0.016511,False,0,0.028692,0.058964,0.918066
HSTNng__KSCYng,6,0.423825,8.678,0.0,0.023761,False,0,0.065733,0.423825,0.826842
IPLSng__KSCYng,6,0.346151,7.647,0.0,0.035238,False,0,0.116187,0.346151,0.699666
KSCYng__SNVAng,6,0.436923,8.88,0.0,0.051733,False,0,0.037332,0.436923,0.835681
LOSAng__SNVAng,6,0.25844,6.743,0.0,0.021026,False,0,0.004253,0.25844,0.96131
NYCMng__WASHng,6,0.015792,5.08,0.0,0.005814,False,0,0.063853,0.015792,0.863508
SNVAng__STTLng,6,0.231223,6.504,0.0,0.023967,False,0,0.06405,0.231223,0.830011
ATLAM5__ATLAng,7,,,,0.030033,True,0,0.01275,0.263219,0.495215
ATLAng__CHINng,7,0.136578,5.791,0.0,0.018777,False,0,0.038991,0.136578,0.892245
ATLAng__HSTNng,7,,,,0.017388,True,0,0.017059,0.460846,0.509183
ATLAng__IPLSng,7,0.096057,5.531,0.0,0.011894,False,0,0.048021,0.096057,0.885771
ATLAng__WASHng,7,0.245246,6.625,0.0,0.022652,False,0,0.050108,0.245246,0.861771
