link_id,time_index,utilization,latency_proxy,queue_proxy
ATLAM5__ATLAng,0,0.237988,6.562,0.0
ATLAng__CHINng,0,0.140287,5.816,0.0
ATLAng__HSTNng,0,0.48439,9.697,0.0
ATLAng__IPLSng,0,0.101523,5.565,0.0
ATLAng__WASHng,0,0.229257,6.487,0.0
CHINng__IPLSng,0,0.269565,6.845,0.0
CHINng__NYCMng,0,0.208748,6.319,0.0
DNVRng__KSCYng,0,0.198065,6.235,0.0
DNVRng__SNVAng,0,0.067326,5.361,0.0
HSTNng__KSCYng,0,0.470897,9.45,0.0
IPLSng__KSCYng,0,0.318801,7.34,0.0
KSCYng__SNVAng,0,0.526464,10.559,0.0
LOSAng__SNVAng,0,0.238482,6.566,0.0
NYCMng__WASHng,0,0.023457,5.12,0.0
SNVAng__STTLng,0,0.259178,6.749,0.0
ATLAM5__ATLAng,1,0.261726,6.773,0.0
ATLAng__CHINng,1,0.135154,5.781,0.0
ATLAng__HSTNng,1,0.490128,9.806,0.0
ATLAng__IPLSng,1,0.08235,5.449,0.0
ATLAng__WASHng,1,0.24314,6.606,0.0
CHINng__IPLSng,1,0.277867,6.924,0.0
CHINng__NYCMng,1,0.231088,6.503,0.0
DNVRng__KSCYng,1,0.186619,6.147,0.0
DNVRng__SNVAng,1,0.049013,5.258,0.0
HSTNng__KSCYng,1,0.474078,9.507,0.0
IPLSng__KSCYng,1,0.331346,7.478,0.0
KSCYng__SNVAng,1,0.558188,11.317,0.0
LOSAng__SNVAng,1,0.234171,6.529,0.0
NYCMng__WASHng,1,0.030967,5.16,0.0
SNVAng__STTLng,1,0.246204,6.633,0.0
ATLAM5__ATLAng,2,0.249894,6.666,0.0
ATLAng__CHINng,2,0.125638,5.718,0.0
ATLAng__HSTNng,2,0.468393,9.405,0.0
ATLAng__IPLSng,2,0.088693,5.487,0.0
ATLAng__WASHng,2,0.195237,6.213,0.0
CHINng__IPLSng,2,0.230806,6.5,0.0
CHINng__NYCMng,2,0.186519,6.146,0.0
DNVRng__KSCYng,2,0.193124,6.197,0.0
DNVRng__SNVAng,2,0.055985,5.297,0.0
HSTNng__KSCYng,2,0.432452,8.81,0.0
IPLSng__KSCYng,2,0.285807,7.001,0.0
KSCYng__SNVAng,2,0.458862,9.24,0.0
LOSAng__SNVAng,2,0.202697,6.271,0.0
NYCMng__WASHng,2,0.021397,5.109,0.0
SNVAng__STTLng,2,0.240956,6.587,0.0
ATLAM5__ATLAng,3,0.265176,6.804,0.0
ATLAng__CHINng,3,0.143128,5.835,0.0
ATLAng__HSTNng,3,0.47248,9.478,0.0
ATLAng__IPLSng,3,0.089086,5.489,0.0
ATLAng__WASHng,3,0.2264,6.463,0.0
CHINng__IPLSng,3,0.218207,6.396,0.0
CHINng__NYCMng,3,0.198382,6.237,0.0
DNVRng__KSCYng,3,0.165371,5.991,0.0
DNVRng__SNVAng,3,0.070787,5.381,0.0
HSTNng__KSCYng,3,0.492946,9.861,0.0
IPLSng__KSCYng,3,0.284236,6.986,0.0
KSCYng__SNVAng,3,0.562176,11.42,0.0
LOSAng__SNVAng,3,0.219378,6.405,0.0
NYCMng__WASHng,3,0.024572,5.126,0.0
SNVAng__STTLng,3,0.316676,7.317,0.0
ATLAM5__ATLAng,4,0.231739,6.508,0.0
ATLAng__CHINng,4,0.151097,5.89,0.0
ATLAng__HSTNng,4,0.478185,9.582,0.0
ATLAng__IPLSng,4,0.0854,5.467,0.0
ATLAng__WASHng,4,0.20228,6.268,0.0
CHINng__IPLSng,4,0.307039,7.215,0.0
CHINng__NYCMng,4,0.25753,6.734,0.0
DNVRng__KSCYng,4,0.220806,6.417,0.0
DNVRng__SNVAng,4,0.059987,5.319,0.0
HSTNng__KSCYng,4,0.441744,8.956,0.0
IPLSng__KSCYng,4,0.359902,7.811,0.0
KSCYng__SNVAng,4,0.481541,9.644,0.0
LOSAng__SNVAng,4,0.254054,6.703,0.0
NYCMng__WASHng,4,0.016341,5.083,0.0
SNVAng__STTLng,4,0.259004,6.748,0.0
ATLAM5__ATLAng,5,0.258286,6.741,0.0
ATLAng__CHINng,5,0.172544,6.043,0.0
ATLAng__HSTNng,5,0.455418,9.181,0.0
ATLAng__IPLSng,5,0.083335,5.455,0.0
ATLAng__WASHng,5,0.216285,6.38,0.0
CHINng__IPLSng,5,0.294192,7.084,0.0
CHINng__NYCMng,5,0.237113,6.554,0.0
DNVRng__KSCYng,5,0.182066,6.113,0.0
DNVRng__SNVAng,5,0.066691,5.357,0.0
HSTNng__KSCYng,5,0.426944,8.725,0.0
IPLSng__KSCYng,5,0.375963,8.012,0.0
KSCYng__SNVAng,5,0.569191,11.606,0.0
LOSAng__SNVAng,5,0.251294,6.678,0.0
NYCMng__WASHng,5,0.022641,5.116,0.0
SNVAng__STTLng,5,0.289715,7.039,0.0
ATLAM5__ATLAng,6,0.203796,6.28,0.0
ATLAng__CHINng,6,0.150251,5.884,0.0
ATLAng__HSTNng,6,0.477157,9.563,0.0
ATLAng__IPLSng,6,0.059967,5.319,0.0
ATLAng__WASHng,6,0.220437,6.414,0.0
CHINng__IPLSng,6,0.289255,7.035,0.0
CHINng__NYCMng,6,0.212454,6.349,0.0
DNVRng__KSCYng,6,0.195811,6.217,0.0
DNVRng__SNVAng,6,0.058964,5.313,0.0
HSTNng__KSCYng,6,0.423825,8.678,0.0
IPLSng__KSCYng,6,0.346151,7.647,0.0
KSCYng__SNVAng,6,0.436923,8.88,0.0
LOSAng__SNVAng,6,0.25844,6.743,0.0
NYCMng__WASHng,6,0.015792,5.08,0.0
SNVAng__STTLng,6,0.231223,6.504,0.0
ATLAM5__ATLAng,7,0.263219,6.786,0.0
ATLAng__CHINng,7,0.136578,5.791,0.0
ATLAng__HSTNng,7,0.460846,9.274,0.0
ATLAng__IPLSng,7,0.096057,5.531,0.0
ATLAng__WASHng,7,0.245246,6.625,0.0
CHINng__IPLSng,7,0.246915,6.639,0.0
CHINng__NYCMng,7,0.198,6.234,0.0
DNVRng__KSCYng,7,0.19721,6.228,0.0
DNVRng__SNVAng,7,0.060881,5.324,0.0
HSTNng__KSCYng,7,0.473404,9.495,0.0
IPLSng__KSCYng,7,0.318551,7.337,0.0
KSCYng__SNVAng,7,0.550289,11.118,0.0
LOSAng__SNVAng,7,0.241578,6.593,0.0
NYCMng__WASHng,7,0.032402,5.167,0.0
SNVAng__STTLng,7,0.277431,6.92,0.0
ATLAM5__ATLAng,8,0.267312,6.824,0.0
ATLAng__CHINng,8,0.117141,5.663,0.0
ATLAng__HSTNng,8,0.475967,9.541,0.0
ATLAng__IPLSng,8,0.078022,5.423,0.0
ATLAng__WASHng,8,0.200261,6.252,0.0
CHINng__IPLSng,8,0.31798,7.331,0.0
CHINng__NYCMng,8,0.258821,6.746,0.0
DNVRng__KSCYng,8,0.162634,5.971,0.0
DNVRng__SNVAng,8,0.048916,5.257,0.0
HSTNng__KSCYng,8,0.461111,9.278,0.0
IPLSng__KSCYng,8,0.403783,8.386,0.0
KSCYng__SNVAng,8,0.61752,13.073,0.0
LOSAng__SNVAng,8,0.254308,6.705,0.0
NYCMng__WASHng,8,0.022703,5.116,0.0
SNVAng__STTLng,8,0.241169,6.589,0.0
ATLAM5__ATLAng,9,0.254494,6.707,0.0
ATLAng__CHINng,9,0.155207,5.919,0.0
ATLAng__HSTNng,9,0.501736,10.035,0.0
ATLAng__IPLSng,9,0.085658,5.468,0.0
ATLAng__WASHng,9,0.250087,6.667,0.0
CHINng__IPLSng,9,0.268324,6.834,0.0
CHINng__NYCMng,9,0.227091,6.469,0.0
DNVRng__KSCYng,9,0.20775,6.311,0.0
DNVRng__SNVAng,9,0.103121,5.575,0.0
HSTNng__KSCYng,9,0.481521,9.644,0.0
IPLSng__KSCYng,9,0.355131,7.754,0.0
KSCYng__SNVAng,9,0.538349,10.831,0.0
LOSAng__SNVAng,9,0.213585,6.358,0.0
NYCMng__WASHng,9,0.032989,5.171,0.0
SNVAng__STTLng,9,0.275556,6.902,0.0
ATLAM5__ATLAng,10,0.218314,6.396,0.0
ATLAng__CHINng,10,0.13437,5.776,0.0
ATLAng__HSTNng,10,0.464918,9.344,0.0
ATLAng__IPLSng,10,0.09785,5.542,0.0
ATLAng__WASHng,10,0.18964,6.17,0.0
CHINng__IPLSng,10,0.287576,7.018,0.0
CHINng__NYCMng,10,0.22962,6.49,0.0
DNVRng__KSCYng,10,0.199868,6.249,0.0
DNVRng__SNVAng,10,0.074384,5.402,0.0
HSTNng__KSCYng,10,0.469143,9.419,0.0
IPLSng__KSCYng,10,0.348722,7.677,0.0
KSCYng__SNVAng,10,0.54111,10.896,0.0
LOSAng__SNVAng,10,0.258162,6.74,0.0
NYCMng__WASHng,10,0.020581,5.105,0.0
SNVAng__STTLng,10,0.27247,6.873,0.0
ATLAM5__ATLAng,11,0.324563,7.403,0.0
ATLAng__CHINng,11,0.151265,5.891,0.0
ATLAng__HSTNng,11,0.515426,10.318,0.0
ATLAng__IPLSng,11,0.098864,5.549,0.0
ATLAng__WASHng,11,0.240611,6.584,0.0
CHINng__IPLSng,11,0.265293,6.805,0.0
CHINng__NYCMng,11,0.211816,6.344,0.0
DNVRng__KSCYng,11,0.236431,6.548,0.0
DNVRng__SNVAng,11,0.093542,5.516,0.0
HSTNng__KSCYng,11,0.484499,9.699,0.0
IPLSng__KSCYng,11,0.314681,7.296,0.0
KSCYng__SNVAng,11,0.487459,9.755,0.0
LOSAng__SNVAng,11,0.273809,6.885,0.0
NYCMng__WASHng,11,0.018951,5.097,0.0
SNVAng__STTLng,11,0.267473,6.826,0.0
ATLAM5__ATLAng,12,0.240672,6.585,0.0
ATLAng__CHINng,12,0.102188,5.569,0.0
ATLAng__HSTNng,12,0.46717,9.384,0.0
ATLAng__IPLSng,12,0.10603,5.593,0.0
ATLAng__WASHng,12,0.251435,6.679,0.0
CHINng__IPLSng,12,0.286114,7.004,0.0
CHINng__NYCMng,12,0.205318,6.292,0.0
DNVRng__KSCYng,12,0.173683,6.051,0.0
DNVRng__SNVAng,12,0.066217,5.355,0.0
HSTNng__KSCYng,12,0.445212,9.012,0.0
IPLSng__KSCYng,12,0.361787,7.834,0.0
KSCYng__SNVAng,12,0.563887,11.465,0.0
